time_in_shelter_days,age_upon_outcome_(years),age_upon_outcome_(days)
10.21,10,3650
0,9,3285
0.04,11,4015
4.2,9,3285
0.35,11,4015
261.75,10,3650
8.01,7,2555
0.02,10,3650
0.34,9,3285
0.42,8,2920
15.6,10,3650
4.97,10,3650
15.12,8,2920
8.76,10,3650
2.91,10,3650
2.74,11,4015
1.83,9,3285
0.16,11,4015
0.2,13,4745
0.18,13,4745
0.15,8,2920
0.9,12,4380
40.88,10,3650
61.01,9,3285
641.99,12,4380
0.31,9,3285
6.85,9,3285
18,9,3285
10.88,9,3285
0.93,8,2920
0.33,9,3285
3.1,3,1095
10.94,10,3650
1,8,2920
4.01,8,2920
0.08,7,2555
9.24,8,2920
33.8,10,3650
2.95,10,3650
1.52,11,4015
25.19,10,3650
11.07,8,2920
7.36,9,3285
0.03,11,4015
9.03,10,3650
4.83,8,2920
0.04,10,3650
0.85,12,4380
1.18,13,4745
90.73,11,4015
10.01,9,3285
0.2,9,3285
304.19,12,4380
13.14,11,4015
1.68,10,3650
14.77,10,3650
15.53,10,3650
2.22,10,3650
3.99,7,2555
6.19,8,2920
0.04,9,3285
9.03,9,3285
0.23,9,3285
1.03,19,6935
35.31,12,4380
3.33,11,4015
7,11,4015
0.05,10,3650
0.22,10,3650
15.65,10,3650
4.88,7,2555
5.24,15,5475
0.92,13,4745
0.11,11,4015
11.67,10,3650
0.35,11,4015
6.79,8,2920
4.58,9,3285
0.02,8,2920
4.18,9,3285
0.2,8,2920
3.97,9,3285
2.17,15,5475
0.44,15,5475
420.61,10,3650
1.92,7,2555
0.85,11,4015
4.9,9,3285
0.82,8,2920
7,8,2920
0.13,6,2190
0.02,10,3650
0.45,8,2920
0.04,17,6205
3.03,7,2555
7.99,10,3650
2.02,9,3285
0.19,7,2555
3.21,12,4380
26.27,11,4015
4.09,11,4015
26.27,11,4015
4.09,11,4015
71.95,8,2920
0.03,11,4015
6.96,10,3650
3.87,9,3285
0.02,13,4745
0.07,13,4745
1.22,7,2555
0.04,6,2190
25.06,7,2555
9,6,2190
0.33,13,4745
1.07,9,3285
5.93,7,2555
10.56,9,3285
5.95,8,2920
14.87,6,2190
1.96,9,3285
1.11,10,3650
58.78,8,2920
0.87,7,2555
0.25,8,2920
29.77,9,3285
15.01,9,3285
6.74,7,2555
1.18,12,4380
4.14,9,3285
5.84,9,3285
2.51,9,3285
1.16,8,2920
4.22,7,2555
5.05,9,3285
0.99,7,2555
0.19,15,5475
3.96,6,2190
0.08,10,3650
0.09,13,4745
0.96,10,3650
26.99,7,2555
0.83,9,3285
8.89,10,3650
9.08,7,2555
50.38,7,2555
0.1,10,3650
29.09,11,4015
0.05,6,2190
4.87,9,3285
15.92,11,4015
0.93,14,5110
0.91,8,2920
1.24,9,3285
2.13,8,2920
1.23,9,3285
0.13,10,3650
22.07,8,2920
32.05,6,2190
0.17,9,3285
11.85,7,2555
10.17,8,2920
8.09,11,4015
7.04,8,2920
0.23,8,2920
16.89,8,2920
4.09,11,4015
44.59,10,3650
11.2,9,3285
3.07,9,3285
0.08,8,2920
0.07,7,2555
0.12,13,4745
10.27,14,5110
9.16,10,3650
0.1,9,3285
0.06,8,2920
1.11,9,3285
0.29,7,2555
0.1,8,2920
0.23,7,2555
0.17,7,2555
1.03,10,3650
6.04,10,3650
13.08,8,2920
0.19,11,4015
142.06,12,4380
2.22,13,4745
0.84,13,4745
0,6,2190
5.66,13,4745
15.18,7,2555
110.88,9,3285
5.15,8,2920
0.95,8,2920
0.69,10,3650
0.13,8,2920
3.9,11,4015
0.17,12,4380
74.86,9,3285
39.75,8,2920
2.9,10,3650
0.07,11,4015
5.09,9,3285
29.19,6,2190
10.01,6,2190
0.11,14,5110
0.02,7,2555
0.06,10,3650
0.97,7,2555
3.92,9,3285
131.87,10,3650
9.78,8,2920
0.86,8,2920
2.97,7,2555
1.01,8,2920
9.15,8,2920
3.9,7,2555
7.1,6,2190
1.06,13,4745
0.08,10,3650
3.95,9,3285
1.83,6,2190
14.83,10,3650
346.2,10,3650
25.03,7,2555
2,7,2555
0.14,9,3285
2,8,2920
0.71,9,3285
37.05,9,3285
1.08,8,2920
9.96,7,2555
49.06,8,2920
0.12,10,3650
8.89,7,2555
9.72,7,2555
0.74,6,2190
0.04,10,3650
3.96,7,2555
3.11,7,2555
33.62,10,3650
1.7,11,4015
0.06,7,2555
0.12,7,2555
8.84,10,3650
194.22,7,2555
3,7,2555
0.79,3,1095
0.24,9,3285
8.19,6,2190
2.97,16,5840
0.14,7,2555
6.06,9,3285
0.14,11,4015
2.22,5,1825
10.87,7,2555
126.93,9,3285
11.05,7,2555
5.61,9,3285
11.89,9,3285
15.05,9,3285
0.02,8,2920
6.22,6,2190
0.83,7,2555
0.5,6,2190
0.06,6,2190
37.19,13,4745
0.14,11,4015
4.09,6,2190
0.34,9,3285
10.84,11,4015
3.14,11,4015
0.1,9,3285
3.24,8,2920
46.02,8,2920
2.12,12,4380
0.3,8,2920
2.1,8,2920
3.67,7,2555
7.26,6,2190
0.06,7,2555
0.19,7,2555
12.99,7,2555
6.4,7,2555
0.96,11,4015
1,6,2190
7,7,2555
0.18,5,1825
11.18,7,2555
13.14,6,2190
6.77,6,2190
1.98,8,2920
0.86,8,2920
2.98,9,3285
4.18,7,2555
0.11,10,3650
0.13,9,3285
2.06,10,3650
1.84,8,2920
12.1,6,2190
2.12,7,2555
29.04,6,2190
0.1,8,2920
189.85,8,2920
4.71,14,5110
0.12,10,3650
0.99,10,3650
0.88,6,2190
1.76,9,3285
8,7,2555
0.11,9,3285
1.27,9,3285
0.86,9,3285
31.16,14,5110
46.85,9,3285
57.83,10,3650
2.29,10,3650
41.58,9,3285
12.19,6,2190
9.7,8,2920
0.05,5,1825
1.2,9,3285
12.26,10,3650
13.07,11,4015
1.85,11,4015
23.87,11,4015
0.04,6,2190
0.09,5,1825
7,9,3285
8.89,9,3285
0.3,8,2920
5.09,9,3285
4.1,6,2190
7.89,6,2190
0.04,6,2190
4.72,9,3285
8.01,6,2190
0.08,5,1825
0.1,8,2920
0.11,8,2920
6.16,6,2190
24.14,9,3285
0.06,7,2555
5.04,10,3650
0.16,7,2555
1.02,8,2920
0.33,7,2555
1.01,7,2555
171.89,6,2190
10.8,7,2555
15.96,12,4380
8.87,10,3650
2.13,17,6205
8.84,5,1825
0.04,7,2555
10.68,8,2920
0.1,9,3285
59.02,9,3285
0.12,7,2555
0.08,9,3285
4.11,5,1825
1.21,6,2190
0.33,12,4380
0.33,14,5110
1.05,5,1825
2.25,9,3285
1.05,8,2920
0.75,8,2920
3.63,8,2920
0.75,8,2920
52.99,8,2920
172.56,8,2920
1.14,7,2555
0.77,12,4380
15.79,7,2555
0.06,10,3650
67.02,7,2555
7.2,6,2190
11.06,6,2190
0.95,8,2920
0.29,6,2190
0.98,8,2920
3.25,10,3650
2.84,7,2555
6.32,6,2190
1,5,1825
4.22,6,2190
3.07,6,2190
0.85,8,2920
36.48,11,4015
0.94,10,3650
9.91,7,2555
0.96,9,3285
0.22,20,7300
0.1,19,6935
22.02,6,2190
7.84,6,2190
4.82,8,2920
0.22,6,2190
2.97,5,1825
0.17,7,2555
4.01,6,2190
1,10,3650
3.14,5,1825
0.16,11,4015
2.07,6,2190
3.25,10,3650
2,8,2920
4.43,8,2920
26.05,12,4380
0.8,5,1825
27.16,9,3285
0.3,9,3285
0.1,7,2555
0.26,8,2920
0.24,6,2190
0.17,9,3285
2.02,4,1460
6.03,7,2555
0.58,6,2190
0.29,9,3285
17.14,15,5475
0.89,8,2920
0.98,7,2555
0.98,7,2555
111.79,9,3285
5.78,13,4745
0.96,7,2555
34.12,6,2190
39.96,5,1825
0.02,8,2920
0.79,7,2555
0.13,9,3285
0.05,7,2555
2.34,10,3650
0.09,8,2920
11.09,11,4015
28.05,9,3285
0.19,10,3650
0.19,6,2190
0.06,9,3285
3.21,11,4015
0.84,11,4015
3.21,7,2555
42.23,6,2190
0.51,7,2555
1.05,7,2555
0.1,7,2555
3.26,6,2190
0.61,5,1825
4.24,6,2190
0.02,8,2920
6.02,6,2190
0.25,8,2920
15,8,2920
7.9,10,3650
3.61,7,2555
6.33,7,2555
73.94,7,2555
354.19,9,3285
0.7,8,2920
10.06,5,1825
10.06,9,3285
0.03,7,2555
21.92,8,2920
4.87,9,3285
14.87,7,2555
0.19,10,3650
21.26,11,4015
1.88,9,3285
6.37,7,2555
9.81,6,2190
17.92,6,2190
1.24,5,1825
1.15,7,2555
3,9,3285
26.15,9,3285
53.25,6,2190
1.89,6,2190
0.28,8,2920
0.1,6,2190
6.15,9,3285
9.8,7,2555
6.79,8,2920
12.85,5,1825
0.3,12,4380
61.86,9,3285
0.09,7,2555
77.02,5,1825
28.04,9,3285
2.12,9,3285
2.3,11,4015
5.18,7,2555
1.13,7,2555
1.95,6,2190
7.17,8,2920
1.72,8,2920
13.21,8,2920
0.11,8,2920
4.32,7,2555
7.73,8,2920
3.68,8,2920
1.23,8,2920
1.82,7,2555
0.06,7,2555
4.05,6,2190
0.15,11,4015
0.05,10,3650
16.95,7,2555
27.14,8,2920
0.87,9,3285
25.88,7,2555
19.18,7,2555
6.83,9,3285
57.93,8,2920
63.06,5,1825
0.2,7,2555
66.11,8,2920
1.17,14,5110
12.9,5,1825
6.79,8,2920
0.72,5,1825
2.99,6,2190
37.91,6,2190
2.18,9,3285
0.08,7,2555
0,6,2190
8.95,9,3285
1.14,7,2555
5.17,5,1825
2.25,6,2190
1.12,8,2920
1.02,5,1825
0.31,12,4380
9.15,8,2920
8.91,5,1825
1.24,7,2555
9.47,6,2190
22.02,10,3650
5.95,5,1825
14.88,11,4015
6.06,5,1825
12.96,5,1825
2.98,5,1825
59.08,6,2190
5.94,4,1460
8.11,8,2920
7.21,8,2920
0.07,9,3285
11.12,9,3285
1.76,8,2920
185.33,8,2920
6.01,11,4015
18.17,7,2555
240.91,6,2190
0.01,8,2920
0.53,6,2190
2.29,5,1825
56.24,7,2555
5.16,6,2190
0.3,8,2920
1.25,8,2920
5.23,8,2920
12.05,10,3650
120.2,11,4015
16.95,6,2190
10.22,8,2920
0.01,13,4745
2.05,6,2190
3.8,9,3285
19.19,8,2920
6.91,12,4380
1.05,8,2920
7.05,5,1825
6.09,10,3650
7.05,7,2555
0.02,8,2920
12.16,6,2190
25.24,7,2555
4.12,4,1460
0.9,7,2555
8.01,5,1825
109.14,6,2190
280.96,9,3285
6.17,7,2555
0.06,12,4380
12.07,6,2190
8.09,6,2190
0.08,7,2555
5.92,6,2190
0.05,9,3285
0.07,9,3285
0.04,8,2920
19.71,6,2190
22.9,5,1825
2.09,5,1825
1.18,9,3285
0.07,17,6205
0.2,9,3285
0.06,8,2920
0.06,16,5840
7.09,6,2190
17.68,5,1825
0.32,5,1825
2.04,5,1825
1.08,5,1825
2.04,5,1825
1.08,5,1825
3.04,15,5475
0.29,15,5475
0.06,15,5475
3.26,8,2920
0.03,6,2190
2.76,8,2920
0.86,6,2190
37.03,8,2920
0.11,7,2555
2.86,7,2555
65.12,7,2555
15.71,4,1460
63.17,10,3650
1.26,6,2190
1.11,5,1825
7.07,6,2190
0.1,6,2190
22.13,5,1825
10.71,10,3650
1.23,10,3650
211.95,8,2920
164.1,7,2555
7.01,6,2190
6.99,9,3285
7.16,8,2920
270.62,10,3650
3.73,9,3285
7.13,5,1825
7.13,5,1825
4.3,10,3650
2.23,5,1825
16.98,9,3285
8.09,4,1460
9.05,4,1460
1.89,4,1460
7.21,4,1460
0.21,11,4015
1.01,9,3285
0.7,11,4015
0.13,7,2555
0.17,6,2190
12.08,7,2555
1.39,13,4745
4.04,10,3650
0.09,11,4015
15.14,8,2920
0.62,9,3285
7.01,11,4015
1.13,8,2920
90.19,8,2920
4.78,5,1825
5.95,8,2920
0.19,8,2920
7.23,9,3285
1.92,6,2190
0.15,5,1825
0.07,7,2555
2,7,2555
25.38,9,3285
0.35,5,1825
241.78,7,2555
202.98,6,2190
1.16,11,4015
0.24,9,3285
1.01,6,2190
3.14,4,1460
48.23,6,2190
7.12,5,1825
5.89,7,2555
165.22,8,2920
0.98,7,2555
5.04,7,2555
0.98,7,2555
6.95,8,2920
0.21,8,2920
3.48,6,2190
13.65,7,2555
0.22,7,2555
1,6,2190
40.09,7,2555
0.98,7,2555
0.69,6,2190
0.48,6,2190
1.01,5,1825
4.95,14,5110
24.07,10,3650
10.95,8,2920
10.75,6,2190
4.88,4,1460
1.3,11,4015
14.77,5,1825
300.94,8,2920
0.35,6,2190
4.06,6,2190
25.85,9,3285
4.65,9,3285
0.21,8,2920
0.05,9,3285
1.24,10,3650
5.66,6,2190
1.15,7,2555
0.92,9,3285
0.22,8,2920
18.25,5,1825
0.3,9,3285
23.08,5,1825
0.14,7,2555
1.04,8,2920
10.87,6,2190
6.02,8,2920
6.82,7,2555
0.04,7,2555
36.16,11,4015
2.16,6,2190
4.87,10,3650
19,8,2920
11.2,7,2555
248.87,7,2555
1.8,13,4745
0.22,9,3285
119.12,8,2920
6.73,6,2190
0.87,5,1825
2.06,9,3285
14.23,7,2555
2.95,12,4380
10.88,5,1825
47.16,5,1825
2.83,8,2920
11.04,5,1825
10.12,4,1460
2.01,9,3285
11.19,8,2920
3.69,6,2190
1.1,11,4015
1.05,10,3650
17.26,9,3285
1.07,8,2920
0.03,19,6935
0.07,10,3650
12.12,7,2555
1.05,6,2190
0.14,7,2555
10.65,8,2920
51.89,12,4380
6.49,12,4380
4,12,4380
2.12,10,3650
32.87,8,2920
0.98,9,3285
0.8,6,2190
4.22,4,1460
31.21,7,2555
0.8,10,3650
13.64,5,1825
1.07,5,1825
11.02,9,3285
3.94,10,3650
2.92,10,3650
9.8,5,1825
0.15,10,3650
0.33,9,3285
2.12,10,3650
0.05,9,3285
0.27,8,2920
0.27,8,2920
112.03,9,3285
0.27,9,3285
0.23,9,3285
0.97,6,2190
1.15,6,2190
3.04,13,4745
68.27,7,2555
30.06,7,2555
2.08,9,3285
2.11,8,2920
5.11,5,1825
8.68,6,2190
4.04,6,2190
