time_in_shelter_days,age_upon_outcome_(years),age_upon_outcome_(days)
3.96,0.575342466,210
6.12,0.164383562,60
5.17,0.410958904,150
11.02,0.082191781,30
11.02,0.082191781,30
12.02,0.082191781,30
12.02,0.082191781,30
9.95,0.410958904,150
12.14,2,730
10.1,0.410958904,150
10.1,0.410958904,150
5.01,4,1460
63,5,1825
1.07,4,1460
0.8,4,1460
1.2,4,1460
57.96,4,1460
0.92,0.328767123,120
0.54,0.057534247,21
1.48,14,5110
106.35,0.739726027,270
54.68,0.164383562,60
8.16,0.164383562,60
1.05,12,4380
5.32,0.575342466,210
4.29,0.821917808,300
36.21,1,365
5.2,1,365
4.95,1,365
3.94,0.082191781,30
1.84,0.246575342,90
5.2,2,730
4.12,0.328767123,120
9.07,2,730
7.7,2,730
130.99,3,1095
64.09,2,730
2.11,3,1095
2.11,6,2190
62.09,1,365
0.73,1,365
0.69,6,2190
0.13,5,1825
0.01,2,730
23.81,5,1825
52.74,0.246575342,90
11.06,5,1825
4.05,0.493150685,180
0.63,1,365
1.96,0.575342466,210
0.59,1,365
4.01,0.164383562,60
14.75,0.164383562,60
12.68,0.164383562,60
4.01,0.164383562,60
10.83,2,730
5.76,7,2555
0.83,6,2190
1.31,2,730
41.42,4,1460
7.33,3,1095
65.1,2,730
6.2,2,730
5.26,0.164383562,60
5.26,0.164383562,60
1.99,5,1825
5.26,0.164383562,60
5.26,0.164383562,60
15.9,2,730
42.19,0.164383562,60
70.98,0.246575342,90
1.99,3,1095
45,0.164383562,60
40.19,0.164383562,60
0.89,2,730
34,2,730
3.23,0.739726027,270
6.17,0.493150685,180
12.03,2,730
4.26,7,2555
22,1,365
0.04,0.575342466,210
0.85,1,365
14.99,5,1825
3.98,3,1095
4.23,4,1460
25.48,4,1460
3.85,4,1460
2.18,3,1095
3.13,7,2555
7.1,5,1825
0.81,1,365
0.13,0.057534247,21
0,1,365
0.04,2,730
4.17,0.164383562,60
15.21,2,730
6.04,0.739726027,270
4.07,4,1460
6.04,0.739726027,270
0.01,2,730
6.04,0.739726027,270
6.9,0.164383562,60
0.92,7,2555
56.12,7,2555
49.19,0.246575342,90
16.12,0.246575342,90
63,0.246575342,90
63,0.246575342,90
4.08,0.164383562,60
54.89,7,2555
7.06,7,2555
5.93,2,730
9.06,2,730
0.01,1,365
0.03,10,3650
0.79,4,1460
4.97,3,1095
4.96,4,1460
14.12,0.821917808,300
7.02,1,365
16.53,3,1095
7.52,1,365
0,3,1095
3.97,0.821917808,300
1.21,0.082191781,30
487.2,3,1095
1.27,2,730
0.04,0.01369863,5
0.31,1,365
1.27,1,365
3.93,1,365
0.83,0.328767123,120
3.2,5,1825
0.82,1,365
3.17,2,730
22.95,10,3650
21.16,10,3650
10.02,10,3650
13.19,10,3650
4.86,0.410958904,150
0.88,2,730
7.06,2,730
4,0.246575342,90
0.97,2,730
9.06,10,3650
4.8,1,365
3,3,1095
0.05,1,365
7,0.821917808,300
45.79,0.575342466,210
3.97,0.164383562,60
10.24,6,2190
0.01,1,365
4.92,0.164383562,60
4.25,2,730
6.9,0.821917808,300
5.3,0.821917808,300
20.07,0.246575342,90
0.9,0.246575342,90
64.86,1,365
41.21,0.164383562,60
34.1,0.164383562,60
30.94,0.164383562,60
51.96,0.164383562,60
30.94,0.164383562,60
46,0.164383562,60
0.26,8,2920
0.12,8,2920
0.06,8,2920
0.15,8,2920
8.11,6,2190
0.87,3,1095
12.08,1,365
36.99,1,365
1.08,1,365
14.24,1,365
85.25,1,365
0.1,0.057534247,21
0.1,0.057534247,21
0.1,0.057534247,21
0.1,0.057534247,21
0.1,0.057534247,21
4.11,0.164383562,60
4.11,0.164383562,60
0.14,0.164383562,60
6.1,1,365
154.14,2,730
2.2,0.246575342,90
5.81,0.246575342,90
0.01,0.493150685,180
0.01,0.493150685,180
12.05,4,1460
3.88,2,730
2.29,4,1460
2.03,9,3285
50.86,3,1095
59.62,0.164383562,60
48.07,0.082191781,30
48.06,0.082191781,30
48.04,0.082191781,30
6.75,7,2555
28.59,0.328767123,120
9.75,0.821917808,300
15.44,1,365
4.11,0.076712329,28
6.13,0.164383562,60
4.31,2,730
5.05,0.164383562,60
0.14,1,365
9.96,8,2920
3.32,0.410958904,150
4.02,0.410958904,150
4.02,0.410958904,150
4.2,3,1095
34.01,3,1095
0.84,0.082191781,30
7,10,3650
36.26,0.246575342,90
4.2,0.082191781,30
4.26,2,730
4.26,0.493150685,180
1.84,0.328767123,120
1.84,0.328767123,120
1.84,0.328767123,120
5.18,1,365
0.92,1,365
6.96,3,1095
1.04,0.164383562,60
45.15,2,730
4.11,0.164383562,60
4.11,0.164383562,60
4.15,1,365
26.91,1,365
9.14,2,730
0.07,1,365
5.13,1,365
4.15,1,365
5.07,4,1460
4.01,2,730
4.96,0.328767123,120
75.98,0.246575342,90
75.98,0.246575342,90
0.76,0.038356164,14
0.76,0.038356164,14
0.76,0.038356164,14
5.03,1,365
7.82,12,4380
4.04,0.164383562,60
29.91,0.164383562,60
8.03,2,730
6.82,1,365
0.66,0.493150685,180
0.29,2,730
14.21,0.493150685,180
233.84,2,730
0.1,0.057534247,21
0.1,0.038356164,14
0.1,0.038356164,14
0.1,0.038356164,14
5.33,2,730
3.08,2,730
57.27,0.739726027,270
0.9,1,365
95.16,0.328767123,120
95.16,0.328767123,120
5.13,2,730
31.1,8,2920
4.31,0.657534247,240
188.46,2,730
1.28,3,1095
5.08,0.410958904,150
33.94,2,730
0.09,7,2555
8.78,2,730
1.1,14,5110
0.12,0.038356164,14
0.06,3,1095
4.07,1,365
30.04,0.328767123,120
10.09,0.164383562,60
6.83,0.657534247,240
5.05,0.164383562,60
7.96,3,1095
1.62,0.410958904,150
5.94,6,2190
5.47,1,365
0.76,1,365
0.76,1,365
31.68,2,730
2.61,0.739726027,270
67.95,5,1825
86.95,5,1825
0.04,2,730
41.81,2,730
0.18,2,730
5.27,3,1095
20.2,0.657534247,240
1,0.410958904,150
11.16,0.493150685,180
4.24,1,365
9.24,0.164383562,60
9.07,0.164383562,60
5.24,0.164383562,60
4.28,0.904109589,330
4.21,0.164383562,60
0.86,2,730
7.16,2,730
26.03,0.493150685,180
5,1,365
3.25,7,2555
11.06,7,2555
4.22,6,2190
0.18,5,1825
0.26,4,1460
0.18,5,1825
0.26,4,1460
10.14,0.164383562,60
10.06,0.164383562,60
4.25,0.164383562,60
0,0.057534247,21
0,0.057534247,21
0,0.057534247,21
0,0.057534247,21
0,0.057534247,21
0,0.057534247,21
1.21,0.164383562,60
1.2,0.164383562,60
13,2,730
15.22,0.821917808,300
2.89,5,1825
0.75,1,365
1.06,0.410958904,150
0.04,10,3650
8.97,3,1095
0.1,2,730
0.15,15,5475
0.05,2,730
10.08,0.493150685,180
1.88,1,365
7.14,1,365
14.09,1,365
11.89,2,730
11.71,0.410958904,150
0.71,1,365
12.95,0.164383562,60
22.94,0.082191781,30
3.01,17,6205
0.01,0.082191781,30
3.98,0.246575342,90
5.91,12,4380
3.18,1,365
25.53,0.904109589,330
16.51,3,1095
1.55,2,730
18.65,1,365
9.92,0.821917808,300
4.46,0.328767123,120
0.23,0.328767123,120
4.24,1,365
0.03,4,1460
0.12,3,1095
23.89,5,1825
10.33,2,730
9.25,1,365
42.08,5,1825
9.32,5,1825
43.2,0.164383562,60
4.21,0.164383562,60
8.25,0.410958904,150
0.08,0.057534247,21
0.08,0.057534247,21
0.08,0.057534247,21
0.08,0.057534247,21
10.16,0.246575342,90
4.12,0.246575342,90
2.16,2,730
15.11,7,2555
33.16,7,2555
0.74,0.410958904,150
0.08,0.019178082,7
0.08,0.019178082,7
62.75,1,365
58.89,0.164383562,60
50.01,0.164383562,60
45.78,0.164383562,60
54.91,0.164383562,60
43.84,1,365
5.84,1,365
14.89,1,365
5.04,8,2920
8.07,1,365
4.12,2,730
13.08,2,730
8.25,1,365
0.02,0.076712329,28
8.02,2,730
77.9,1,365
4.98,0.246575342,90
4.39,0.164383562,60
1.04,2,730
137.34,0.410958904,150
137.39,0.410958904,150
45.2,1,365
58.15,1,365
67.21,0.246575342,90
15.23,2,730
0.91,0.246575342,90
8.36,3,1095
7.15,2,730
0.9,1,365
0.9,1,365
0.9,1,365
27.22,0.164383562,60
29.32,0.164383562,60
13.92,2,730
50.24,0.246575342,90
52.14,0.246575342,90
46.11,0.164383562,60
3.09,0.328767123,120
7.27,0.328767123,120
8.24,0.328767123,120
8.05,0.328767123,120
10.18,1,365
0.86,1,365
0.97,3,1095
0.84,1,365
6.97,0.328767123,120
4.16,0.164383562,60
0.91,11,4015
0.82,1,365
0.83,1,365
17.05,4,1460
4.83,3,1095
4.18,0.164383562,60
4.18,0.164383562,60
4.18,0.164383562,60
4.18,0.164383562,60
4.18,0.164383562,60
7.12,0.164383562,60
2.43,0.739726027,270
8.06,0.246575342,90
8.84,4,1460
8.89,2,730
7.92,0.164383562,60
4.08,0.164383562,60
7.9,0.164383562,60
15.85,2,730
2.34,5,1825
5.97,3,1095
5.95,2,730
0.03,1,365
0.67,1,365
9.04,3,1095
4.05,0.410958904,150
8.06,1,365
10,3,1095
10,3,1095
23.9,0.164383562,60
0.02,20,7300
0.65,0.493150685,180
2,4,1460
14.42,1,365
0.31,0.076712329,28
1.25,8,2920
1.02,1,365
140.09,3,1095
0.01,1,365
138.21,0.575342466,210
138.21,0.575342466,210
11.96,1,365
1.19,0.246575342,90
2.2,4,1460
0.05,0.057534247,21
4.13,0.328767123,120
29.25,0.164383562,60
29.25,0.164383562,60
1.22,9,3285
6.02,2,730
0.8,1,365
0.8,0.246575342,90
4.99,0.493150685,180
5.13,0.328767123,120
2.05,12,4380
0.11,10,3650
2.09,4,1460
0.1,0.057534247,21
55.14,0.246575342,90
16.94,1,365
31.29,1,365
3.11,0.904109589,330
4.97,0.164383562,60
45.81,3,1095
3.44,2,730
28.97,0.164383562,60
14.09,0.082191781,30
26.86,0.164383562,60
4.04,0.493150685,180
14.92,1,365
1.88,8,2920
5.8,0.082191781,30
0.66,1,365
3.73,10,3650
5.99,1,365
7.83,3,1095
4.08,2,730
0.81,2,730
12.27,1,365
2.97,2,730
4.07,3,1095
96.01,1,365
5.04,0.246575342,90
2.24,0.328767123,120
133.84,1,365
99.21,0.328767123,120
98.24,0.328767123,120
3.95,0.164383562,60
3.95,0.164383562,60
3.95,0.164383562,60
5.03,4,1460
6.24,0.575342466,210
0.83,3,1095
5.13,0.164383562,60
5.13,0.164383562,60
4.19,0.164383562,60
46.93,0.164383562,60
0.05,6,2190
4.14,0.493150685,180
4.14,0.493150685,180
2.07,2,730
5.04,2,730
0.22,2,730
1.21,1,365
26.16,0.164383562,60
48.04,0.164383562,60
48.04,0.164383562,60
2.09,1,365
1.14,2,730
74.86,2,730
0.76,0.328767123,120
0.76,3,1095
0.76,0.328767123,120
6.11,2,730
7.95,4,1460
11.02,0.739726027,270
8.1,2,730
0.06,0.038356164,14
0.06,0.057534247,21
0.06,0.057534247,21
10.1,2,730
0.03,0.019178082,7
0.03,0.019178082,7
0.06,0.057534247,21
2.84,12,4380
0.62,0.410958904,150
0.62,0.575342466,210
0.62,0.575342466,210
0.62,0.575342466,210
3.22,0.082191781,30
3.22,0.082191781,30
0.08,0.328767123,120
5.1,1,365
5.1,1,365
6.12,1,365
5.28,0.410958904,150
6.35,0.410958904,150
6.13,0.164383562,60
6.13,0.164383562,60
6.13,1,365
6.13,1,365
6.33,1,365
16.09,3,1095
10.11,3,1095
2.32,1,365
1.16,0.082191781,30
1.16,0.082191781,30
4.04,0.904109589,330
74.14,0.246575342,90
74.15,0.246575342,90
74.18,0.246575342,90
6.23,1,365
4.24,0.246575342,90
10.22,4,1460
9.05,2,730
3.42,4,1460
9.78,4,1460
5.23,4,1460
32.02,5,1825
45.94,3,1095
4.14,0.164383562,60
5.1,0.164383562,60
4.18,0.164383562,60
5.14,0.164383562,60
5.16,0.164383562,60
1.21,4,1460
3.09,0.739726027,270
3.84,0.246575342,90
3.9,0.493150685,180
2.95,0.493150685,180
5.87,3,1095
79.9,2,730
2.02,2,730
5.01,0.410958904,150
53.76,1,365
35.7,0.164383562,60
72.61,0.246575342,90
72.61,0.246575342,90
11.95,2,730
2.68,2,730
2.68,0.038356164,14
2.68,0.038356164,14
2.68,0.038356164,14
2.68,0.038356164,14
8.46,0.493150685,180
1.62,4,1460
10.93,4,1460
4.04,11,4015
9.99,11,4015
45.44,1,365
124.21,1,365
6.25,11,4015
4.31,1,365
0.03,8,2920
0.04,8,2920
6.33,2,730
4.87,1,365
34.88,0.164383562,60
44.08,0.246575342,90
3.2,1,365
0.77,1,365
181.76,3,1095
6.85,3,1095
5.09,3,1095
9.08,3,1095
24.13,3,1095
51.97,1,365
7.85,0.164383562,60
4.1,9,3285
30.95,0.246575342,90
0.64,0.246575342,90
4.89,7,2555
0.03,0.739726027,270
0.19,2,730
2.22,1,365
3.97,0.493150685,180
6.99,0.821917808,300
16.77,0.164383562,60
16.81,0.164383562,60
0.92,0.082191781,30
0.92,0.082191781,30
0.92,0.082191781,30
0.92,0.082191781,30
0.92,0.082191781,30
31.37,0.246575342,90
0.07,6,2190
71.08,0.328767123,120
0.01,2,730
2.01,0.328767123,120
4.2,0.164383562,60
4.2,0.164383562,60
3.21,1,365
22.94,3,1095
75.9,2,730
10.55,2,730
7.1,1,365
6.05,1,365
7.89,2,730
4.2,1,365
4.15,0.164383562,60
9.14,1,365
4.17,1,365
0.16,10,3650
0.16,10,3650
3.75,0.821917808,300
0.7,1,365
1.08,2,730
1.21,10,3650
0.07,8,2920
5.84,0.493150685,180
2.08,1,365
2.08,0.904109589,330
0.11,4,1460
1.05,2,730
1.28,1,365
0.02,1,365
0.12,1,365
2.08,0.904109589,330
7.79,8,2920
3.69,0.575342466,210
8.86,0.328767123,120
0.04,0.057534247,21
0.04,0.057534247,21
0.04,0.057534247,21
0.04,0.057534247,21
0.04,0.057534247,21
0.04,0.057534247,21
0.04,0.057534247,21
0.04,0.057534247,21
0.04,0.057534247,21
0.04,0.057534247,21
0.05,0.057534247,21
0.05,0.057534247,21
0.05,0.057534247,21
0.05,0.057534247,21
3.63,0.410958904,150
0.95,2,730
1.93,1,365
13.84,1,365
0.57,6,2190
0.65,4,1460
4.4,2,730
0.08,3,1095
7.26,4,1460
4.73,3,1095
6.34,2,730
2.16,0.904109589,330
5.26,0.657534247,240
2.91,1,365
2.91,2,730
2.91,2,730
5.06,0.082191781,30
21.28,1,365
82.97,3,1095
4.2,0.082191781,30
9.16,0.821917808,300
67.93,0.246575342,90
67.93,0.246575342,90
0.05,8,2920
8.95,2,730
5.93,10,3650
0.87,0.410958904,150
1.72,2,730
2.81,2,730
76.85,1,365
2.07,1,365
6,1,365
50.76,1,365
28.8,2,730
2.22,5,1825
3.99,5,1825
4.05,0.657534247,240
1.35,2,730
4.13,4,1460
4.38,0.164383562,60
33.1,0.164383562,60
1.92,5,1825
1.9,0.493150685,180
4.88,4,1460
4.27,0.493150685,180
3.87,0.246575342,90
393.23,10,3650
7.1,1,365
26.22,0.164383562,60
26.23,0.164383562,60
8.18,0.821917808,300
15.24,0.821917808,300
11.18,3,1095
2.78,0.657534247,240
4.03,15,5475
4.03,14,5110
10.04,4,1460
4.11,3,1095
8.09,0.821917808,300
1.74,0.657534247,240
60.03,3,1095
4.14,0.821917808,300
9,4,1460
4.05,1,365
7.04,1,365
15.08,3,1095
24.09,3,1095
38.1,1,365
12.98,1,365
6.85,1,365
1.66,1,365
1.65,2,730
0.07,3,1095
2.06,2,730
8.04,8,2920
4.7,0.657534247,240
4,0.657534247,240
10.8,2,730
6.55,1,365
0.01,2,730
4.24,0.328767123,120
21.08,3,1095
3.97,0.076712329,28
3.97,0.076712329,28
3.97,0.076712329,28
65.22,0.246575342,90
65.22,0.246575342,90
53,0.164383562,60
65.13,0.246575342,90
10.99,3,1095
10.14,3,1095
5.97,2,730
4.1,1,365
0.78,0.328767123,120
64.76,0.246575342,90
5.16,1,365
0.77,0.575342466,210
124.01,1,365
30.97,2,730
10.15,2,730
2.14,0.164383562,60
1.16,0.164383562,60
0.09,0.038356164,14
0.83,14,5110
0.85,0.328767123,120
0.69,1,365
0.79,6,2190
0.68,3,1095
10.8,5,1825
46.01,1,365
0.02,0.493150685,180
0.02,0.493150685,180
0.6,10,3650
0.35,0.493150685,180
0.34,0.493150685,180
7.9,3,1095
18.03,4,1460
0.91,4,1460
2.32,0.164383562,60
10.07,0.328767123,120
9.27,5,1825
0.9,0.328767123,120
96.25,7,2555
96.97,7,2555
67.05,0.246575342,90
67.05,0.246575342,90
0.04,1,365
5.12,4,1460
0.16,3,1095
8.88,4,1460
1.06,0.164383562,60
3.13,4,1460
11.02,0.164383562,60
11.02,0.164383562,60
11.02,0.164383562,60
1.07,3,1095
13.89,2,730
13.14,1,365
4.92,2,730
15.89,2,730
74.89,0.246575342,90
3.94,1,365
5.89,1,365
5.85,1,365
1.1,1,365
8.75,5,1825
84.94,5,1825
10.95,5,1825
3.89,2,730
35.78,2,730
44.71,2,730
0.15,2,730
0.11,14,5110
0.11,0.019178082,7
0.11,0.019178082,7
12.22,3,1095
6.13,0.493150685,180
6.13,0.493150685,180
3.17,4,1460
16.27,8,2920
2.25,0.164383562,60
0.04,0.038356164,14
0.04,0.038356164,14
0.02,0.493150685,180
5.2,0.739726027,270
6.06,0.328767123,120
19,1,365
4.2,1,365
7.12,4,1460
1.19,1,365
0.78,1,365
1.19,0.057534247,21
1.19,0.076712329,28
1.19,0.057534247,21
1.19,0.057534247,21
1.19,0.057534247,21
1.19,0.057534247,21
1.19,0.057534247,21
23.09,0.164383562,60
0.13,2,730
4.12,2,730
4.01,2,730
0.78,3,1095
6.02,1,365
4.9,1,365
16.92,5,1825
4.91,2,730
4.9,0.082191781,30
4,3,1095
5.92,2,730
0.67,1,365
4.86,2,730
16.3,1,365
20.83,6,2190
0.76,5,1825
1.63,0.328767123,120
1.63,0.328767123,120
1.63,0.328767123,120
0.01,0.493150685,180
0.41,0.493150685,180
17.66,0.164383562,60
8.68,1,365
1.04,3,1095
0.74,4,1460
0.92,3,1095
0.88,1,365
5,3,1095
8,2,730
4.94,1,365
18.35,0.164383562,60
4.86,0.246575342,90
33.27,0.164383562,60
4.94,1,365
18.35,0.164383562,60
29.07,0.164383562,60
39.12,0.164383562,60
32.29,0.164383562,60
25.29,0.164383562,60
7.99,0.246575342,90
0.07,0.008219178,3
6.17,0.657534247,240
0.88,1,365
4.99,1,365
22.03,3,1095
60.08,3,1095
0.1,3,1095
0.81,1,365
31.84,1,365
46.18,1,365
8.08,3,1095
4.2,0.164383562,60
4.21,0.164383562,60
0.08,2,730
2.9,3,1095
2.06,2,730
2.06,1,365
69.84,0.657534247,240
2.9,0.076712329,28
2.9,0.076712329,28
2.9,0.076712329,28
2.9,0.076712329,28
0.89,4,1460
30,1,365
4.13,2,730
0.77,1,365
0.1,0.057534247,21
0.1,0.057534247,21
0.1,0.057534247,21
0.1,0.057534247,21
28.87,0.164383562,60
0.01,2,730
45.1,2,730
0.17,4,1460
1.11,3,1095
0.05,1,365
0.06,0.057534247,21
22.27,3,1095
8.01,4,1460
6.08,0.164383562,60
5.91,0.328767123,120
0.01,0.076712329,28
37.93,0.246575342,90
3.82,5,1825
3.88,5,1825
8.77,1,365
0.44,0.076712329,28
0.57,0.057534247,21
0.57,0.057534247,21
6.19,1,365
8.75,7,2555
8.75,6,2190
5.25,0.328767123,120
42.18,0.164383562,60
68.12,0.164383562,60
3.08,2,730
6,7,2555
19.1,0.657534247,240
7.26,0.657534247,240
6.23,0.657534247,240
2.06,0.164383562,60
2.06,0.164383562,60
42.03,0.164383562,60
0.14,13,4745
0.22,0.328767123,120
0.19,0.076712329,28
6.08,3,1095
0.85,0.575342466,210
0.85,0.575342466,210
0.07,0.038356164,14
4.14,3,1095
12.96,1,365
452.8,4,1460
2,0.164383562,60
10.07,0.164383562,60
18.02,0.164383562,60
4.94,0.904109589,330
1.99,0.164383562,60
3.08,0.164383562,60
4,0.657534247,240
7,0.821917808,300
48.95,1,365
1.23,0.904109589,330
116.9,2,730
9.02,6,2190
0.28,5,1825
1.04,5,1825
0.71,3,1095
0.05,0.038356164,14
3.79,5,1825
3.79,5,1825
4.01,0.821917808,300
14.7,0.164383562,60
0.73,0.057534247,21
0.73,0.057534247,21
0.73,0.057534247,21
0.73,0.057534247,21
1.03,4,1460
5.03,4,1460
1.38,0.246575342,90
174.7,2,730
42.29,0.493150685,180
2.9,2,730
52,5,1825
13.15,0.164383562,60
0.16,0.246575342,90
0.11,9,3285
0.05,0.038356164,14
5.21,1,365
4.07,3,1095
16.88,5,1825
5.81,0.657534247,240
11.18,0.328767123,120
12.95,0.164383562,60
0.04,1,365
7.12,7,2555
68.02,1,365
67.72,1,365
0.11,5,1825
21.08,0.164383562,60
2.06,2,730
5.84,1,365
4.02,0.082191781,30
30.02,0.164383562,60
30.02,0.164383562,60
30.03,0.164383562,60
11.02,1,365
35.96,0.164383562,60
14.54,3,1095
11.63,0.657534247,240
0.36,0.076712329,28
0.18,3,1095
6.19,0.164383562,60
95.4,7,2555
6.78,2,730
0.18,2,730
4.27,2,730
8.04,4,1460
0.09,0.038356164,14
0.09,0.038356164,14
0.03,0.019178082,7
0.07,0.057534247,21
4.29,0.164383562,60
5.24,1,365
0.14,5,1825
13.31,1,365
4.2,0.575342466,210
0.03,0.038356164,14
0.03,0.038356164,14
0.03,0.038356164,14
5.14,1,365
5.04,1,365
8.05,1,365
0.13,13,4745
4.91,0.246575342,90
13,2,730
4.15,1,365
1.16,1,365
2.19,2,730
5.17,2,730
20.04,1,365
0.06,9,3285
2.14,3,1095
13.11,5,1825
4.23,3,1095
8.96,2,730
15.12,8,2920
44.09,7,2555
1.94,6,2190
41.9,3,1095
41.01,1,365
8.72,1,365
14.6,0.164383562,60
0.75,0.164383562,60
0.75,0.164383562,60
0.86,2,730
0.86,0.904109589,330
0.51,0.076712329,28
8.45,5,1825
9.3,7,2555
58.34,0.246575342,90
58.34,0.246575342,90
0.34,1,365
21.27,2,730
5.1,3,1095
4.18,0.076712329,28
4.23,0.076712329,28
4.23,0.076712329,28
19.99,1,365
9.19,7,2555
0.88,0.821917808,300
0.02,12,4380
0.03,0.082191781,30
0.03,0.082191781,30
70.26,0.164383562,60
0.21,1,365
4.15,0.821917808,300
0.84,0.575342466,210
0.86,1,365
12.03,0.164383562,60
12.03,0.164383562,60
5.94,10,3650
4.14,1,365
30.01,1,365
2.05,0.164383562,60
40.12,0.904109589,330
8.3,5,1825
0.97,2,730
34.89,0.164383562,60
9.91,0.164383562,60
30.18,0.164383562,60
3.99,2,730
26.91,6,2190
9,5,1825
14.23,1,365
19.91,1,365
250.17,6,2190
430.89,6,2190
3.99,2,730
3.65,0.493150685,180
1.89,0.076712329,28
67.29,1,365
40.41,0.082191781,30
43.34,0.082191781,30
43.34,0.082191781,30
40.47,0.082191781,30
0.19,0.038356164,14
17.75,0.493150685,180
0.24,0.739726027,270
0.02,1,365
0.28,6,2190
20.1,3,1095
40.24,3,1095
0.09,0.410958904,150
25.23,1,365
0.12,0.082191781,30
0.12,0.082191781,30
0.12,0.082191781,30
0.12,0.082191781,30
0.12,0.082191781,30
10.19,0.739726027,270
40.25,1,365
0.97,0.904109589,330
0.97,0.904109589,330
1.03,2,730
0.7,8,2920
5.08,8,2920
4.17,0.246575342,90
4.08,1,365
61.18,0.246575342,90
4.94,0.493150685,180
10.96,6,2190
10.96,6,2190
51.06,6,2190
10.93,4,1460
7.14,2,730
3.87,0.493150685,180
6.09,0.493150685,180
20.88,0.164383562,60
5.05,2,730
19.06,4,1460
1.94,4,1460
0.68,2,730
5.02,0.575342466,210
0.03,3,1095
7.08,3,1095
7.05,2,730
6,1,365
6.03,1,365
0.65,0.493150685,180
2.86,12,4380
0.01,0.038356164,14
3.97,8,2920
0.95,1,365
35.81,7,2555
17.82,13,4745
25.8,0.164383562,60
24.05,0.164383562,60
21.91,0.164383562,60
21.91,0.164383562,60
3.97,0.164383562,60
50.74,0.246575342,90
52.62,0.246575342,90
2.23,9,3285
5.21,1,365
28.15,1,365
5.11,10,3650
0.09,0.057534247,21
0.09,0.057534247,21
0.09,0.057534247,21
63.13,2,730
0.08,1,365
28.18,1,365
1.15,0.904109589,330
1.3,0.246575342,90
0.02,0.082191781,30
4.25,1,365
53,0.575342466,210
6.23,0.493150685,180
0.25,0.057534247,21
0.25,0.057534247,21
0.25,0.057534247,21
0.25,0.057534247,21
4.26,2,730
5.22,0.328767123,120
4.27,0.328767123,120
4.87,2,730
1.05,1,365
1.07,1,365
223.94,5,1825
0.97,0.493150685,180
26.08,3,1095
7.06,2,730
5.11,0.410958904,150
5.11,0.164383562,60
4.17,0.164383562,60
4.92,0.164383562,60
5.09,0.164383562,60
44.71,0.164383562,60
0.69,3,1095
106.72,7,2555
4.77,2,730
0.65,1,365
59.06,0.164383562,60
0.64,2,730
56.99,0.164383562,60
21.96,0.082191781,30
0.64,2,730
0.65,2,730
55.03,0.164383562,60
6.06,0.164383562,60
6.05,0.164383562,60
6.82,0.246575342,90
13.8,4,1460
1.56,4,1460
6.18,3,1095
1.55,8,2920
1.18,7,2555
5,0.410958904,150
51.16,4,1460
13.8,4,1460
0.04,0.038356164,14
1.92,0.076712329,28
3.59,1,365
0.44,0.493150685,180
7.31,2,730
0.06,0.328767123,120
125.02,3,1095
6.29,3,1095
0.94,2,730
35.23,0.164383562,60
34.3,0.164383562,60
1.13,1,365
5.05,1,365
4.21,2,730
38.16,2,730
3.11,0.246575342,90
3.11,0.246575342,90
0.93,3,1095
0.42,1,365
4.23,0.246575342,90
3.96,1,365
0.11,0.057534247,21
14.91,15,5475
0.09,14,5110
0.09,2,730
0.09,3,1095
16.16,3,1095
23.15,3,1095
0.78,1,365
2.07,1,365
39.16,1,365
16.04,6,2190
9.78,3,1095
66.95,1,365
50.25,2,730
11.83,0.246575342,90
0.74,0.246575342,90
0.73,0.575342466,210
14.09,2,730
10.98,3,1095
0.73,0.575342466,210
0.73,0.575342466,210
7.22,1,365
5.98,0.739726027,270
0.06,0.493150685,180
125.68,1,365
4.1,2,730
3.9,1,365
0.73,0.057534247,21
0.73,0.057534247,21
0.73,0.057534247,21
0.73,0.057534247,21
0.04,0.082191781,30
3.76,0.082191781,30
0.6,2,730
0.86,1,365
0.87,1,365
37.23,2,730
15.32,0.821917808,300
0.9,0.082191781,30
0.01,0.246575342,90
3.02,2,730
5.07,0.575342466,210
5.07,0.575342466,210
24.25,0.493150685,180
16.27,1,365
2.09,0.657534247,240
12.13,1,365
0.81,2,730
0.07,11,4015
0.02,0.246575342,90
9.03,10,3650
5.91,9,3285
5.91,4,1460
1.15,2,730
6.05,0.246575342,90
16.95,0.164383562,60
33.03,8,2920
39.77,0.164383562,60
9.84,0.739726027,270
1.95,1,365
4.02,1,365
4.83,0.328767123,120
4.83,0.328767123,120
7.85,3,1095
0.63,0.821917808,300
18.01,0.164383562,60
25.05,0.164383562,60
24.06,0.164383562,60
32.02,0.164383562,60
32.02,0.164383562,60
12.81,0.821917808,300
0.34,0.076712329,28
0.02,2,730
0,0.493150685,180
9.18,4,1460
45.23,3,1095
1.03,3,1095
4.21,0.821917808,300
4.3,0.082191781,30
5.84,3,1095
1.7,3,1095
9.2,3,1095
14.09,1,365
5.78,2,730
0.14,0.076712329,28
4.98,1,365
4.19,1,365
4.18,1,365
11.02,5,1825
0.03,1,365
23.07,0.739726027,270
19.1,0.164383562,60
18.85,0.164383562,60
18.14,0.164383562,60
17.19,2,730
4.14,0.164383562,60
27.85,2,730
0.04,0.057534247,21
5.13,0.821917808,300
35.07,2,730
11.12,0.821917808,300
0.01,1,365
105.89,10,3650
0.08,10,3650
4.01,0.164383562,60
24.11,1,365
0.27,1,365
