age_upon_intake_(years),time_in_shelter_days
9,32.00972222
11,3.143055556
13,0.995833333
12,0.695138889
9,28.16666667
11,1.152777778
11,9.204166667
10,1.013194444
12,3.070138889
11,0.182638889
11,6.276388889
13,0.979166667
12,20.99097222
12,0.760416667
12,0.275
12,11.25208333
11,348.9284722
9,6.704861111
10,0.761111111
10,0.065972222
11,0.074305556
10,4.1625
16,0.038194444
11,0.167361111
16,1.895138889
10,15.73958333
13,0.226388889
10,5.105555556
12,0.103472222
10,291.7784722
9,4.927083333
10,64.84166667
13,0.131944444
10,0.131944444
14,0.050694444
5,7.189583333
9,19.06527778
13,1.065972222
11,0.186805556
13,0.257638889
13,0.876388889
9,87.71180556
9,38.10555556
10,0.047222222
10,2.389583333
15,16.20486111
10,2.049305556
10,10.99791667
9,2.072916667
12,201.5979167
12,0.8125
14,0.211805556
13,9.203472222
13,5.0625
11,3.022222222
10,0.115972222
14,30.04791667
12,0.228472222
9,12.69375
9,14.93611111
10,0.03125
10,0.706944444
10,9.147222222
10,12.20208333
9,10.69166667
10,1.760416667
10,1.129166667
12,2.111805556
9,7.004166667
9,3.869444444
11,0.097916667
11,3.054861111
14,0.214583333
8,0.163194444
10,0.152083333
9,0.792361111
10,6.925
13,122.8791667
15,0.081944444
10,0.177083333
14,3.922222222
13,10.72638889
12,107.0458333
16,0.075
8,3.89375
12,1.629861111
11,10.09791667
12,2.039583333
11,5.289583333
11,1.984027778
12,205.9201389
9,6.225694444
9,10.75347222
12,15.08194444
10,3.848611111
10,0.143055556
9,0.945833333
11,22.09444444
13,6.204861111
9,2.980555556
10,0.498611111
12,0.2875
12,1.154166667
11,0.775694444
11,66.07291667
11,137.7875
10,6.933333333
12,4.166666667
14,1.099305556
13,3
11,98.025
10,0.122222222
11,1.154166667
17,0.141666667
11,119.9652778
7,1.085416667
10,7.9625
7,1.309722222
11,6.064583333
13,10.02777778
10,1.173611111
11,0.946527778
8,2.971527778
12,0.086111111
11,0.029166667
9,3.39375
12,2.152083333
10,0.238194444
10,15.31666667
9,1.245833333
13,4.832638889
8,1.01875
8,13.00555556
10,0.760416667
9,3.758333333
7,31.36597222
10,7.040277778
8,0.054166667
11,0.029861111
8,4.267361111
13,4.323611111
12,4.341666667
10,0.088888889
10,0.548611111
8,79.74375
8,3.236111111
7,70.29513889
12,1.570833333
12,1.248611111
9,6.221527778
11,4.945138889
9,0.846527778
9,8.764583333
9,0.918055556
9,8.2875
13,4.059027778
14,5.24375
13,1.967361111
8,44.03541667
13,20.83402778
10,9.140972222
12,0.084722222
12,0.763888889
8,130.8395833
9,18.90763889
8,5.215277778
7,124.2430556
9,9.021527778
