intake_weekday
Thursday
Friday
Friday
Wednesday
Saturday
Saturday
Friday
Monday
Monday
Friday
Friday
Monday
Thursday
Tuesday
Wednesday
Monday
Saturday
Monday
Monday
Monday
Tuesday
Sunday
Tuesday
Saturday
Friday
Saturday
Friday
Saturday
Thursday
Tuesday
Wednesday
Thursday
Wednesday
Wednesday
Thursday
Saturday
Sunday
Monday
Sunday
Sunday
Friday
Thursday
Wednesday
Monday
Friday
Wednesday
Monday
Sunday
Wednesday
Tuesday
Friday
Monday
Wednesday
Monday
Monday
Thursday
Thursday
Monday
Wednesday
Sunday
Friday
Friday
Friday
Saturday
Saturday
Thursday
Sunday
Monday
Friday
Friday
Sunday
Monday
Sunday
Monday
Saturday
Thursday
Thursday
Tuesday
Saturday
Friday
Monday
Saturday
Sunday
Thursday
Sunday
Wednesday
Saturday
Saturday
Monday
Monday
Wednesday
Monday
Saturday
Sunday
Thursday
Saturday
Wednesday
Wednesday
Saturday
Monday
Thursday
Saturday
Thursday
Thursday
Thursday
Saturday
Friday
Wednesday
Saturday
Sunday
Saturday
Thursday
Sunday
Saturday
Wednesday
Monday
Friday
Saturday
Sunday
Wednesday
Monday
Tuesday
Thursday
Thursday
Tuesday
Sunday
Thursday
Thursday
Friday
Sunday
Monday
Friday
Thursday
Tuesday
Friday
Friday
Thursday
Wednesday
Sunday
Friday
Wednesday
Sunday
Thursday
Monday
Monday
Tuesday
Sunday
Saturday
Sunday
Monday
Tuesday
Saturday
Sunday
Monday
Monday
Monday
Sunday
Monday
Friday
Thursday
Thursday
Sunday
Thursday
Friday
Wednesday
Friday
Friday
Sunday
Tuesday
Thursday
Wednesday
Friday
Thursday
Friday
Monday
Monday
Tuesday
Thursday
Friday
Wednesday
Sunday
Monday
Sunday
Monday
Tuesday
Sunday
Wednesday
Thursday
Sunday
Saturday
Sunday
Saturday
Monday
Sunday
Wednesday
Monday
Monday
Tuesday
Tuesday
Thursday
Friday
Tuesday
Sunday
Wednesday
Saturday
Thursday
Saturday
Saturday
Thursday
Wednesday
Monday
Monday
Friday
Friday
Wednesday
Saturday
Sunday
Friday
Saturday
Thursday
Sunday
Friday
Saturday
Saturday
Friday
Saturday
Monday
Saturday
Wednesday
Friday
Friday
Sunday
Wednesday
Wednesday
Thursday
Friday
Wednesday
Sunday
Saturday
Sunday
Monday
Wednesday
Tuesday
Monday
Tuesday
Saturday
Monday
Friday
Thursday
Tuesday
Thursday
Saturday
Sunday
Thursday
Saturday
Tuesday
Sunday
Sunday
Tuesday
Thursday
Tuesday
Sunday
Tuesday
Thursday
Monday
Sunday
Tuesday
Wednesday
Thursday
Thursday
Thursday
Saturday
Sunday
Tuesday
Monday
Friday
Sunday
Thursday
Thursday
Sunday
Sunday
Monday
Monday
Monday
